faculty,institution
"Beirne, Thomas J. Jr.;University of Oklahoma;1981","California State University, Sacramento"
"Belknap, Margaret H.;University of Pennsylvania;2000",U.S. Military Academy
"Bell, Bruce K.;Walden;2000",Liberty University
"Bell, Bruce;Walden;2000",Liberty University
"Bell, Donald L.;Claremont McKenna College;1977",Pacific Lutheran University
"Bell, Donald R.;University of Iowa;1980",Pacific Lutheran University
"Bell, Gerald D.;Yale University;1964",University of North Carolina
"Bell, Joe A.;Oklahoma State University;1980",Missouri State University
"Bell, Robert;Brunel University;1972","CUNY, Brooklyn College"
"Bell, Robert;England","CUNY, Brooklyn College"
"Bellamy, D. Scott;University of Kentucky",Southern Arkansas University
"Bellavane, Francois;Universite de Montreal",HEC Montreal
"Bellner, Bruce;Heriot-Wat;2007",Ohio State University
"Belloit, Jerry D.;University of Florida;1979",Clarion University of Pennsylvania
"Ben-Shehar, Omri;Harvard University;1995",University of Michigan
"Ben-Zion, Barry;University of Oregon;1973",Sonoma State University
"BenDaniel, David J.;Massachusetts Institute of Technology;1961",Cornell University
"Benedetti, Robert R.;1975",University of the Pacific
"Benefield, Michael E.;Purdue University;1989",Arkansas Tech University
"Benis, Martin;New York University;1972","CUNY, Baruch College"
"Bennet, Rebecca;Northwestern University;1991",University of Toledo
"Bennett, Christopher P.;Union College;1998",Taylor University
"Bennett, Christopher P.;Union Institute & University;1998",Taylor University
"Bennett, Doris S.;University of Alabama;1979",Jacksonville State University
"Bennett, Jerome V.;University of South Carolina;1976","University of South Carolina, Spartanburg"
"Bennett, Robert E.;University of Missouri;1972",Northern Illinois University
"Bensics, Frank G.;University of Pennsylvania;1988",College of Insurance
"Benson, Ronald G.;University of Iowa;1975",Aurora University
"Benson, Ronald;University of Iowa;1975",Aurora University
"Benson, Vaughn L.;University of Nebraska;1985",Wayne State University
"Bentley, Jerome T.;University of Pittsburgh;1974",Rider University
"Berg, David;University of Minnesota;1998","University of Texas, Dallas"
"Berg, Milo Douglas;Texas A&M University;1995",Sam Houston University
"Bergan, Daniel J.;Texas Tech University;1985",Northeastern Illinois University
"Berger, Jay;University of California, Los Angeles;1967","California State University, Northridge"
"Bergman, Tom;University of Oklahoma;1993",University of Central Oklahoma
"Bergsten, Gordon S.;University of California, Berkeley;1977",Dickinson College
"Berman, Peter I.;Johns Hopkins University;1967",University of New Haven
"Bernard, James A. Jr.;University of Notre Dame;1972",Valparaiso University
"Bernardo, Dan;Washington State University;1985",Washington State University
"Berry, Bob;University of Warwick;1987",University of Nottingham
"Berry, Dale A.;Indiana University;1966",Drake University
"Berry, Delano Howard;University of Kentucky;1991",Florida International University
"Berry, Lucille M.;Saint Louis University;1987",Webster University
"Berry, Lucille;Saint Louis University;1987",Webster University
"Berry, Stanley Keith;Vanderbilt University;1979",Hendrix College
"Berry, Steven;University of Georgia;1982","University of South Carolina, Spartanburg"
"Bert, Milo Douglas;Texas A&M University;1995",Sam Houston University
"Bertero, Elisabetta;University of London;1987",London School of Economics and Political Science
"Bertethal, Bennett;University of Denver;1978",Indiana University
"Berthling-Hansen, Paal;Southampton University",BI Norwegian Business School
"Berthling-Hansen, Pat;Southampton University",BI Norwegian Business School
"Besci, Zsolt;University of Wisconsin, Madison;1991",Southern Illinois University
"Bescos, Pierre-Laurent;Paris IX;1986",ESCP Business School
"Beshara, Robert L.;University of Florida;1981",La Sierra University
"Besser, Lance J.;University of Arkansas;1983",Tarleton State University
"Betts, Norman M.;Queen's University;1992",University of New Brunswick
"Betty, Winfield;University of North Texas;1969","University of Texas, San Antonio"
"Bevelander, J.;Massachusetts Institute of Technology;2003","University of Maryland, College Park"
"Beveridge, Stephen;University of Chicago;1975",University of Alberta
"Bewley, Kate;University of Waterloo;1998",York University
"Bezabeh, Admassu;University of California, Berkeley;1978",Golden Gate University
"Bhandari, Borndi;University of Oregon;2006",Fitchburg State College
"Bhandari, Ravi;Amherst College;2001","University of Hawaii, Hilo"
"Bhanich Supapol, Atipol;Carleton University",York University
"Bhapu, Anita;University of Arizona;1999",Southern Methodist University
"Bhatia, Ramesh C.;West Virginia University;1978",Millersville University
"Bhatia, Shyam L.;Indiana University;1976",Indiana University Northwest
"Bhattarai, Ghadhi;Auburn University;2005",Auburn University at Montgomery
"Bhuiyan, Mohammad;University of Florida;1993",Fort Valley State University
"Bi, Keqian;University of Florida;1989",University of San Francisco
"Bian, Yu-Yuan;National Taiwan University;1978",National University of Singapore
"Bibbins, W. Jerome;University of Arkansas;1980",Troy State University
"Bickner, Mel Liang;University of California, Los Angeles;1968","California State University, Fullerton"
"Biederman, Kenneth R.;Purdue University;1971",University of Delaware
"Bierman, H. Scott;University of Virginia;1985",Carleton University
"Bigbee, Dalton L.;Texas Tech University;1981",Texas A&M University–Kingsville
"Biggadike, Ralph;Harvard University;1977",Columbia University
"Bikhazi, Elias G.;University of South Carolina;1986",Bentley College
"Bilbeisi, Khamis;University of Mississippi;1989","Troy State University, Dothan"
"Billes, Frank V.;University of California, Los Angeles;1974","California State University, Dominguez Hills"
"Bin, Leo M.;University of Mississippi;2000","University of Illinois, Springfield"
"Bindon, Kathleen R.;Pennsylvania State University;1981",University of Alabama
"Biolsi, Robert;CUNY",Saint Peter's University
"Bird, Cynthia E.;University of Georgia;1989","California State University, San Bernardino"
"Bird, Roger C.;University of Pennsylvania;1969",American College
"Biscontri, Robert;Macquarie University;2002",Hong Kong Polytechnic University
"Biven, W. Carl;Saint Louis University;1956",Georgia Institute of Technology
"Bizzell, Bobby G.;University of Texas at Austin;1971",University of Houston-Downtown
"Bjork, Gordon C.;University of Washington;1963",Claremont McKenna College
"Black, Gene M.;Georgia Institute of Technology;1991",Arkansas Tech University
"Black, Geoffry;University of Washington;1995",Boise State University
"Black, Kenneth U.;University of North Texas;1980","University of Houston, Clear Lake"
"Black, Stephen;Oklahoma State University;1995",University of Central Oklahoma
"Blackwell, J. Lloyd III;Georgia State University;1973",University of North Dakota
"Blackwell, Melanie A.;University of Kentucky;1988",Xavier University
"Blafountain, Courtney;Washington University in St. Louis;2003","University of Texas, Arlington"
"Blais, Jeffrey;University of Pittsburgh;1975",Rhode Island College
"Blaise, Hans;University of Pittsburgh;1981",University of Guam
"Blake, David H.;Rutgers University;1968","University of California, Irvine"
"Blake, Gordon;University of Nebraska;1970",University of Nebraska at Kearney
"Blake, Herbert Jr.;Santa Clara University;1985","California State University, Sacramento"
"Blake, R. William;University of Western Ontario;1977",Memorial University of Newfoundland
"Blalock, Mary;Louisiana State University;1973",Southeastern Louisiana University
"Blanchette, Danielle;University of Quebec in Montreal;2001",Sherbrooke University
"Bland, Eugene;University of Mississippi;1998",Francis Marion University
"Bland, Sandra;Eastern Illinois University;2002",Bemidji State University
"Blanshan, Sue A.;Ohio State University;1975",Birmingham-Southern College
"Blasko, Matt;University of Georgia;2001",Oakland University
"Bleekemoler, J.E.A.M.;Trecht;1999",Free University Amsterdam
"Bleich, Donald;University of California, Los Angeles;1985","California State University, Northridge"
"Blevins, Ronald;New Mexico State University;2001",Eastern New Mexico University
"Blitstein, Allen;University of Minnesota;1972",Southwest Minnesota State University
"Bloch, Fred A.;University of Adelaide;1972",University of Adelaide
"Bloch, Howard Ruben;Princeton University;1964",George Mason University
"Blommaert, Jos;Maastricht University;1995",Tilburg University
"Blonder, Mauritz D.;CUNY;1976",Hofstra University
"Blookgoal, James;University of South Carolina;1997",Kansas State University
"Bloom, Matthew C.;Cornell University;1996",University of Notre Dame
"Bloomberg, Sandra;University of Utah;1984",New Jersey City University
"Blount-Lyon, Sally;Northwestern University;1992",University of Chicago
"Blue, Eugene R.;Michigan State University;1997",Governors State University
"Blue, Michael C.;University of Idaho;1990",Bloomsburg University of Pennsylvania
"Blumenfrucht, Israel;New York University;1981","CUNY, Queens College"
"Blumner, Sidney M.;University of Arizona;1968","California State Polytechnic University, Pomona"
"Blunden, Robert G.;University of Western Ontario",Dalhousie University
"Boatwright, Earl W.;University of Arkansas;1982",Piedmont College
"Bobbington, Jan;University of Dundee;1999",University of Aberdeen
"Bobrowski, Paul M.;Indiana University",Auburn University
"Bochenek, M.;Loyola University Chicago;1991",Elmhurst College
"Bochnak, Mary;University of Minnesota;1982",Hamline University
"Bodily, Jerry J.;Purdue University;1974",Saint Mary's College of California
"Bodnar, George H.;University of Pennsylvania;1975",Duquesne University
"Boeh, Jeanne M.;University of Illinois, Chicago;1989",Augsburg University
"Boeh, Jeanne;University of Illinois, Chicago;1989",Augsburg University
"Boes, Richard F.;Michigan State University;1978",Idaho State University
"Boey, Peter;Cranfield University",McMaster University
"Bogart, Marti S.;Purdue University;1986",North Central College
"Boger, Pamela A.;Ohio University;1984",Ohio University
"Boggess, Trent E.;University of Kansas;1980",Plymouth State University
"Bohlen, George;Purdue University;1973",University of Dayton
"Bohley, Katherine;San Diego State University;1998",University of Indianapolis
"Bohling, Peter H.;University of Massachusetts;1977",Bloomsburg University of Pennsylvania
"Bohmer, Peter G.;University of Massachusetts;1985",Evergreen State College
"Boise, William B.;University of Pennsylvania;1963",New York University
"Boisvert, Hugues;Stanford University;1978",HEC Montreal
"Boland, Dennis;University of Illinois;1970",University of the District of Columbia
"Boldt, David John;University of New Mexico;1987",University of West Georgia
"Bolema, Ted;Michigan State University;1989",Central Michigan University
"Bolen, Dennis I.;University of North Dakota;2000",Augustana University
"Boley, Richard;University of Texas at Austin;1976",University of North Texas
"Bollen, Nicholas B.;Duke University;1997",University of Utah
"Bom, Philip C.;Free University Amsterdam",Regent University
"Bonaparate, Tony;New York University",St. John's University
"Bonawitz, Mary Fenney;Florida International University;2002",Penn State Harrisburg
"Bondarenko, Peter;Princeton University;2005",University of Chicago
"Bondreaux, Donald;Auburn University;1986",George Mason University
"Bonge, John W.;Northwestern University;1968",Lehigh University
"Bonitsis, T. H.;CUNY;1984",New Jersey Institute of Technology
"Bonitsis, T. Homer;CUNY;1984",New Jersey Institute of Technology
"Bonitsis, Theologos H.;CUNY;1984",New Jersey Institute of Technology
"Bonner, William H.;Ohio State University;1961",Tennessee Technological University
"Bonnier, Carole;CNAT;2001",ESCP Business School
"Bonno, John A.;University of Arkansas;1969",Texas A&M University–Kingsville
"Bonomatti, Robert;Massachusetts Institute of Technology",Shenandoah University
"Boo, Hian Youn El'fred;Nanyang Technological University;2001",Nanyang Technological University
