faculty,institution
"Barr, Joseph E.;Boston College;1976",Framingham State College
"Barrack, John B.;Oklahoma State University;1975",University of Georgia
"Barrett, David;Georgia State University;1997",Georgia State University
"Barrett, Edgar;Stanford University;1971",Thunderbird School of Global Management
"Barrett, Jack",Marywood University
"Barry, Michael;University of Wisconsin, Milwaukee;2000",Mount St. Mary's University
"Barsness, Richard W.;University of Minnesota;1963",Lehigh University
"Bartell, Ernest J.;Princeton University;1966",University of Notre Dame
"Bartell, H. Robert;Columbia University;1963",East Tennessee State University
"Bartkus, BaRhara;Texas A&M University;1997",Old Dominion University
"Bartlet, David;Ball State University",Indiana Wesleyan University
"Bartlett, Sue;Cardiff University;1996",Cardiff University
"Basel, Saleh;Kansas State University;2004",Radford University
"Baskan, Asuman;Lehigh University;1988",Allegheny College
"Baskett, James;University of Arizona;1976",Loyola University New Orleans
"Bass, Charles;Southwest Baptist University;1998",Dallas Baptist University
"Bassiry, Gabriel R.;Binghamton University;1977","California State University, San Bernardino"
"Basu, Atin;University of Mississippi;1998",Virginia Military Institute
"Basu, Jay",William Paterson University of New Jersey
"Basyouni, Mohamed;Alexandria University;1993",King Saud University
"Batabyal, Amitjatreet;University of California, Berkeley;1994",Rochester Institute of Technology
"Bates, Ira W.;University of Arkansas;2000",Florida A&M University
"Bates, Lawrence W.;University of Texas at Austin;1975",Eastern Illinois University
"Bathgate, James;University of Connecticut;2001",Linfield College
"Battacharya, Radha S.;Pennsylvania State University;1990","California State University, Fullerton"
"Battaglia, Samuel T.;University at Buffalo;1968",University of Denver
"Battistel, George P.;University of Oregon;1992",University of Portland
"Baugher, Daniel;Rutgers University;1976",Pace University
"Bauke, John;University of Florida;2002",Northern Illinois University
"Bauman, Harvey L.;Colum Pac;1993",Lees-McRae College
"Bausor, Randall S.;Duke University;1978",University of Massachusetts
"Bawumia, Muhumudu;Simon Fraser University;1995",Baylor University
"Baxter, George C.;University of Minnesota;1972",University of Saskatchewan
"Bay, John W.;Boston College;1966",University of Southern Maine
"Bayazitoglu, Berna;Cornell University;1996",Bogazici University
"Bayer, Arthur A.;Michigan State University;1968",Babson College
"Bazan, Stanley;University of Connecticut;1995",Western Connecticut State University
"Bazaz, M. Sadegh;University of Oklahoma;1985",Oakland University
"Bazyari, Habib;MSU;1974",University of West Alabama
"Beall, Larry G.;Duke University;1973",Virginia Commonwealth University
"Beam, Robert D.;University of Cincinnati;1980","University of Wisconsin, Superior"
"Beaman, Ian",Monash University
"Bear, F. Thomas;University of Georgia;1973",Stetson University
"Beard, Barbara E.;University of Maryland, College Park;1976",Shepherd University
"Beard, David;Michigan State University;1985",Idaho State University
"Beardsley, George L.;University of Pennsylvania;1974",California Polytechnic State University
"Beaton, C. Russell;Claremont McKenna College;1968",Willamette University
"Beatty, Warren A.;Florida State University;1986",University of South Alabama
"Beaulieu, Jean T.;Utah State University;1984",Westminster College (Utah)
"Bebee, Richard F.;University of Colorado;1971",Salisbury University
"Bebensee, Mark A.;Duke University;1977","Citadel, The Military College of South Carolina"
